,Density of the material (g/cm3),Helium Void Fraction,Gravimetric Void Fraction,Surface Area volumetric (m2/cm3),Surface Area gravimetric (m2/g),PLD (_),LCD (_),Pore Volume (cm3/g),ch4_100bar_cccc,ch4_100bar_density_kgm3,ch4_100bar_gg,ch4_100bar_heatcap_JmolK,ch4_100bar_qst_kJmol,ch4_100_7_delcap_gg,ch4_50bar_cccc,ch4_50bar_density_kgm3,ch4_50bar_gg,ch4_50bar_heatcap_JmolK,ch4_50bar_qst_kJmol,ch4_50_7_delcap_gg,ch4_7bar_cccc,ch4_7bar_density_kgm3,ch4_7bar_gg,ch4_7bar_heatcap_JmolK,ch4_7bar_qst_kJmol
ABEMIF,1.218,0.616058,0.526261,859.03,705.17,5.16,10.84,0.505794745,218.0710575,156.08116,0.128125826,7054.14467,23.31589,0.037683559,205.3567361,146.98107,0.120655633,9434.92129,22.18547,0.030213365,153.9333756,110.17555,0.090442268,18633.16829,22.17131
ABEXEN,0.674,0.733768,0.724256,1581.91,2345.75,13.58,17.8,1.088676558,226.3497756,162.00653,0.240235008,25330.1536,14.0354,0.169665288,179.5900796,128.53896,0.190606879,23715.35286,13.05706,0.120037159,66.49089303,47.58988,0.07056972,15856.08293,14.47829
ABIXEP,1.487,0.374332,0.493613,793.74,533.87,4.7,6.45,0.251736382,140.742079,100.73408,0.067753219,11843.33568,19.19411,0.040779042,123.7615878,88.58054,0.059578813,11293.98025,18.08459,0.032604636,56.03278793,40.10465,0.026974177,8608.14129,16.42464
ABOHOO,2.299,0.551767,0.694431,2181.46,948.99,4.85,7.47,0.240003045,148.3512638,106.18024,0.046190866,6816.18528,12.18745,0.040123343,102.0546189,73.0441,0.031775875,4776.43514,11.00576,0.025708352,19.48707029,13.94758,0.006067523,927.7465,9.54595
ABULUG,0.543,0.627964,0.701045,1554.48,2863.01,8.47,8.98,1.156471455,186.4583804,133.45485,0.245796917,8941.93672,12.59896,0.215117644,134.763656,96.45511,0.177650857,8945.90977,11.77338,0.146971584,23.272902,16.65724,0.030679273,1130.97548,9.55756
ACACAL,2.549,0.564849,0.694257,1511.64,593.07,4.89,7.98,0.221596312,179.5739941,128.52745,0.050426129,11814.70745,16.39363,0.036063088,152.3166241,109.01839,0.042771994,14459.91247,16.35118,0.028408952,51.14865539,36.6089,0.014363041,9303.75976,13.91525
ACACIT,1.214,0.781334,0.850833,1779.54,1465.62,10.37,11.04,0.643602965,193.7463941,138.67114,0.1142089,15870.38111,11.26574,0.103575008,119.6219763,85.61767,0.070514315,8218.44316,9.61684,0.059880423,18.03955976,12.91155,0.010633892,934.74721,8.00968
ACACUF,2.037,0.616703,0.7494,2064.66,1013.59,5.09,8.23,0.302750614,188.9504932,135.23854,0.066391283,9133.9341,14.77607,0.05242464,152.8278343,109.38428,0.053698912,10232.92368,14.38534,0.039732269,39.74925523,28.44995,0.013966643,3892.41813,12.48999
ACAFAO,1.59,0.238578,0.368463,429.17,269.94,4.38,5.54,0.150049057,91.42770817,65.43804,0.041160553,3340.03619,19.6565,0.015087451,84.75271417,60.66051,0.038155485,4297.47629,20.02808,0.012082383,57.91477078,41.45165,0.026073102,8768.71737,22.07459
ACAJOF,1.219,0.288949,0.41876,585.64,480.54,5.38,6.09,0.237037736,110.4861154,79.07882,0.064887649,3054.36356,18.75341,0.027784042,97.63021362,69.87739,0.057337476,2628.38004,17.54891,0.020233869,63.17740769,45.2183,0.037103608,4060.89372,18.88331
ACASUT,1.062,0.55974,0.656953,1256.01,1182.65,3.99,5.64,0.527062147,242.9963611,173.92108,0.16376416,14489.79524,17.9427,0.097834286,212.3170629,151.96282,0.143088256,21286.14858,18.78418,0.077158382,97.82799492,70.01895,0.065929874,21564.47943,16.94962
ACATAB,0.595,0.609406,0.730025,1682.49,2829.17,6.71,8.14,1.024211765,211.0572682,151.06114,0.253122156,27084.19457,13.85831,0.212476048,159.9674352,114.49434,0.191849835,23650.59435,12.88862,0.151203726,33.89137024,24.25725,0.040646109,6846.27787,11.58021
ACELIF,0.759,0.569551,0.613324,1479.59,1948.58,6.22,7.67,0.750396574,204.7692361,146.56058,0.193019464,7716.35949,17.73815,0.128539188,176.208021,126.11831,0.166097108,8958.36514,17.01271,0.101616832,68.40541659,48.96017,0.064480276,7708.09679,15.04704
ACIBOE,1.3,0.481116,0.492139,694.92,534.59,6.78,7.99,0.370089231,167.9557939,120.21189,0.092476288,7932.76105,19.39137,0.02397571,160.0911613,114.5829,0.088146029,10882.81918,20.99193,0.019645452,124.4110153,89.04536,0.068500577,23034.37122,22.03645
ACIPAF,0.704,0.456942,0.596018,1449.79,2060.74,5.45,6.29,0.649065341,166.6578454,119.28291,0.16955101,12196.69453,15.0526,0.135900596,129.1554066,92.44109,0.131397532,11644.49644,13.9778,0.097747118,33.07621409,23.67381,0.033650414,4283.49148,12.94717
ACODAA,1.018,0.41584,0.555293,1033.85,1015.6,5.78,6.24,0.40848723,192.8963022,138.0627,0.13562598,8416.93655,20.4948,0.072506762,168.5997623,120.67281,0.118543009,8524.00167,20.19435,0.055423791,89.77235579,64.25325,0.063119218,7406.85688,18.99809
ACOLAG,2.109,0.160999,0.359444,227.77,108.02,4.37,4.95,0.076339023,73.97744223,52.94827,0.025111867,3484.80094,21.66383,0.010686772,68.11961557,48.75562,0.02312341,3170.19758,20.22417,0.008698315,42.49511252,30.41525,0.014425095,6443.8338,21.16004
ACOLEL,0.291,0.855485,0.846597,1948.24,6695.83,9.18,11.41,2.939810997,213.284706,152.6554,0.524661935,16618.70741,11.18608,0.473870238,136.9360952,98.01,0.336850954,11547.0785,9.69849,0.286059256,20.64775724,14.77833,0.050791697,1438.81327,8.25442
ACOLUB,1.084,0.426061,0.513626,749.14,690.87,4.11,6.86,0.393045203,147.8708733,105.83641,0.097605272,9818.13904,18.80422,0.050945204,132.5208448,94.84985,0.087473163,10581.08886,18.23241,0.040813095,70.68947112,50.59495,0.046660068,9976.96353,18.18005
ACOZAW,1.029,0.569225,0.714877,1686.58,1639.57,4.42,7.37,0.553182702,142.7267043,102.15454,0.099307776,8156.46065,12.24028,0.085838077,99.92805419,71.52204,0.069528915,6255.93571,11.56783,0.056059215,19.35886498,13.85582,0.0134697,1218.48209,9.99351
