DDEC code,MOF family,Ref code,Pressure (bar),Grav. Uptake (mol/kg),Vol. Uptake (cm3/cm3),Qst (kJ/mol),Grav. Working Capacity (mol/kg),Deliverable Capacity (Vol.),Density (g/cm3),Pore Limiting Diameter (A),Largest Cavity Diameter (A),Vol. Surface Area (m2/cm3),Grav. Surface Area (m2/g),Pore Volume (cm3/g),Void Fraction
AFIXAO,ZIF,core-mof-ddec-1,1,0.337870382,8.498534406,15.65047,2.341867324,58.90554803,1.12223,4.52,6.33,1039.3,926.107,0.302968197,0.34
ABUWOJ,ZnO,core-mof-ddec-10,1,0.568666064,14.76547762,16.56438,4.853947428,122.0924988,1.15833,4.03,5.08,1023.45,883.557,0.4230228,0.49
AVAQIX,None,core-mof-ddec-100,1,0.895626399,26.23874914,18.20407,6.492423576,168.5765006,1.30707,3.64,5.45,0,0,0.336630785,0.44
HOWPUF,None,core-mof-ddec-1000,1,0.348596874,7.592904509,19.74457,3.9306402,115.1541338,0.971712,5.48,7.93,1852.28,1906.2,0.617466904,0.6
HOWQAM,None,core-mof-ddec-1001,1,0.502046509,11.4213849,15.74358,9.789715802,213.2330573,1.01498,5.31,6.83,2003.55,1973.98,0.640406708,0.65
HOWQEQ,None,core-mof-ddec-1002,1,0.516599091,17.53322367,16.80256,9.78756058,222.6636272,1.51423,3.43,5.04,0,0,0.178308447,0.27
HOXKUB,None,core-mof-ddec-1003,1,0.416674692,16.02614801,20.72357,2.544847653,86.37139302,1.716,4.21,6.32,1022.8,596.037,0.285547786,0.49
HOYTUL,None,core-mof-ddec-1004,1,0.157213257,4.889237825,18.81445,3.606255927,138.7038674,1.38751,3.5,5.48,0,0,0.201800347,0.28
HUCLIB,None,core-mof-ddec-1005,1,0.121018555,6.012460241,16.25122,3.216348238,100.0264974,2.21655,3.34,3.72,0,0,0.040603641,0.09
HUHJAW,None,core-mof-ddec-1006,1,0.037882755,1.794191166,22.77856,1.125307792,55.90769395,2.11306,2.52,3.68,0,0,0.033127313,0.07
HURGEH,None,core-mof-ddec-1007,1,0.275331946,6.291623525,20.70428,0.942442188,44.63565143,1.0195,5.17,7.76,1844.1,1808.82,0.598332516,0.61
HURGUX01,None,core-mof-ddec-1008,1,0.643733448,19.13054178,14.93665,8.62507604,197.0920273,1.32588,3.84,4.96,394.92,297.854,0.173469696,0.23
HURGUX,None,core-mof-ddec-1009,1,0.651258883,19.34497491,20.26906,2.135120693,63.4517528,1.32525,3.84,4.97,407.75,307.677,0.181097906,0.24
AVELOD,None,core-mof-ddec-101,1,0.421968045,8.656213647,19.75258,2.127460765,63.19403263,0.915242,4.98,8.08,1517.32,1657.84,0.513525385,0.47
HURNOX,None,core-mof-ddec-1010,1,0.020794523,0.747328198,16.43549,8.259801033,169.4407983,1.60341,2.49,3.2,0,0,0.049893664,0.08
HURQUG,None,core-mof-ddec-1011,1,0.209232134,7.846163738,20.64708,2.08173257,74.81476908,1.67305,3.22,6.31,0,0,0.173336123,0.29
HUSQES,None,core-mof-ddec-1012,1,0.46372789,14.60012722,17.01785,3.094636158,116.0482455,1.4047,3.23,3.89,0,0,0.227806649,0.32
HUTTIA,ZnO,core-mof-ddec-1013,1,0.551472232,15.94762548,20.80824,4.647991903,146.338563,1.29015,2.95,4.94,0,0,0.217029028,0.28
HUTZAX01,ZnO,core-mof-ddec-1014,1,0.343769377,10.91405733,18.47868,2.301100057,66.54384356,1.41637,3.92,5.15,283.381,200.075,0.127085437,0.18
HUTZEB,None,core-mof-ddec-1015,1,0.416847841,12.83394299,18.27784,1.234941852,39.20717518,1.37355,2.46,3.89,0,0,0.152888501,0.21
HUZSUR01,ZnO,core-mof-ddec-1016,1,0.485087012,9.157225491,21.09212,2.856515793,87.94662515,0.8422,8.67,9.88,1341.73,1593.12,0.688672524,0.58
IBARUA,None,core-mof-ddec-1017,1,0.244339252,10.84387362,14.70899,10.55489799,199.2499872,1.98004,5.03,7.13,675.451,341.131,0.126260076,0.25
IBASEL,None,core-mof-ddec-1018,1,0.221080833,8.78205369,20.35849,1.996013954,88.58389661,1.77226,5.13,7.43,738.301,416.588,0.146705337,0.26
IBICAZ,ZnO,core-mof-ddec-1019,1,0.164650211,3.9574876,19.0588,2.313719082,91.90848873,1.0723,9.84,9.98,989.879,923.134,0.354378439,0.38
AVEMAQ,None,core-mof-ddec-102,1,0.413519464,8.409013649,15.31457,6.039344122,145.1600297,0.907269,4.98,7.9,1505.45,1659.32,0.484971932,0.44
IBICED,ZnO,core-mof-ddec-1020,1,0.143387047,3.940140989,16.46293,7.790452501,158.420648,1.22593,9.94,10.07,959.865,782.97,0.309968758,0.38
IBICIH,ZnO,core-mof-ddec-1021,1,0.1661558,3.979483886,15.31716,5.083444648,139.6882711,1.06849,9.84,10,1000.47,936.337,0.355642074,0.38
IBICON,ZnO,core-mof-ddec-1022,1,0.143875535,3.946139958,15.36841,6.019419851,144.1670062,1.22363,9.94,10.1,960.429,784.904,0.310551392,0.38
IBICUT,ZnO,core-mof-ddec-1023,1,0.169257135,4.053585956,15.11363,5.156229391,141.4222569,1.06845,10.01,10.15,964.85,903.041,0.365014741,0.39
IBIDAA,ZnO,core-mof-ddec-1024,1,0.144324629,3.916808108,15.18317,6.065191581,145.2569514,1.21075,10.08,10.21,960.711,793.484,0.322114392,0.39
IBITUK,None,core-mof-ddec-1025,1,0.274111711,7.233033023,14.92876,5.257827059,142.6915132,1.17728,4.11,5.11,662.848,563.035,0.237836369,0.28
IBOTAU,None,core-mof-ddec-1026,1,0.19584387,9.171575164,18.37222,4.290409275,113.2117701,2.08909,2.92,6.68,0,0,0.21061802,0.44
IBOZIK,None,core-mof-ddec-1027,1,0.475774626,10.02471767,17.21538,3.406159611,159.5140498,0.94006,4.49,6.14,1597.45,1699.31,0.531880944,0.5
IBUDOZ,None,core-mof-ddec-1028,1,0.514341826,17.16777337,16.79958,9.222620725,194.3234548,1.48919,4.25,5.09,602.658,404.689,0.141016257,0.21
IBUYAH,ZnO,core-mof-ddec-1029,1,0.161033651,5.395947368,18.62631,1.859434688,62.06447094,1.49492,4.03,4.28,127.256,85.1256,0.060203891,0.09
AVEMOE,None,core-mof-ddec-103,1,0.173940896,8.459304513,18.80984,0.883607911,29.60810834,2.16979,2.93,3.54,0,0,0.064522373,0.14
ICAGAU,None,core-mof-ddec-1030,1,0.222035015,10.0736908,19.63094,1.888246304,91.83148356,2.02392,2.54,4.84,0,0,0.177872643,0.36
ICAGOK,None,core-mof-ddec-1031,1,0.461647012,8.673067216,16.02192,1.716934994,77.89704817,0.838204,5,8.74,1762.88,2103.17,0.715816197,0.6
ICALOP,None,core-mof-ddec-1032,1,0.63759081,11.38267121,16.04585,10.89013926,204.5955185,0.796498,6,7.49,2305.1,2894.04,0.94162195,0.75
ICANAD,None,core-mof-ddec-1033,1,0.418850383,18.90070593,15.51227,14.43514053,257.7051867,2.01327,2.77,7.32,0,0,0.134110179,0.27
ICANEH,None,core-mof-ddec-1034,1,0.399519217,17.86972806,20.53605,1.799828282,81.21760536,1.99556,2.81,7.44,0,0,0.140311492,0.28
ICEGED,None,core-mof-ddec-1035,1,0.320662316,6.779364795,20.92246,1.88041757,84.10747007,0.943252,6.42,7.44,2029.61,2151.71,0.646698867,0.61
ICIZOL,None,core-mof-ddec-1036,1,0.471844629,13.02294526,14.85312,10.55953719,223.2471701,1.23139,3.07,4.66,0,0,0.243627121,0.3
ICORAV,None,core-mof-ddec-1037,1,0.088052383,3.475315346,20.14039,4.05647227,111.9589227,1.76091,4.4,4.97,656.804,372.992,0.153329812,0.27
ICOWON,None,core-mof-ddec-1038,1,0.372796651,10.54399498,14.9617,2.575530022,101.6528877,1.26187,4.24,5.8,1125.38,891.834,0.285290878,0.36
ICOYIK,None,core-mof-ddec-1039,1,0.566457071,19.95047225,18.24922,5.709766835,161.4922041,1.57134,3.2,5,0,0,0.197283847,0.31
AVEROJ,None,core-mof-ddec-104,1,0.199311844,7.583715893,19.11193,2.623488259,92.3985813,1.69759,6.81,7.03,1352.46,796.694,0.270972378,0.46
IDAGOL,None,core-mof-ddec-1040,1,0.062313063,2.082786527,16.18251,4.473495695,170.2142722,1.49127,3.23,3.78,0,0,0.100585407,0.15
IDAGUR,None,core-mof-ddec-1041,1,0.131121894,4.065483495,16.78554,2.405278155,80.39535669,1.38333,3.26,4.22,0,0,0.130120795,0.18
IDAZEU,None,core-mof-ddec-1042,1,0.01879794,0.945960372,17.5192,2.778526453,86.14925495,2.24514,2.46,2.74,0,0,0.084627239,0.19
IDIWOH01,None,core-mof-ddec-1043,1,0.411493605,9.220177102,15.94093,2.094066382,105.3787701,0.999675,7.22,7.68,1544.27,1544.77,0.530172306,0.53
IDIWOH,None,core-mof-ddec-1044,1,0.413968653,9.282102931,17.2852,9.567006541,214.3641931,1.00037,7.21,7.68,1539.6,1539.03,0.539800274,0.54
IDUDES,Cu-Cu,core-mof-ddec-1045,1,0.993278679,28.36676557,17.67753,9.589511894,215.0183011,1.27416,2.98,4.48,0,0,0.251145853,0.32
IDUDIW,Cu-Cu,core-mof-ddec-1046,1,0.749763264,18.37954458,20.18774,3.203410562,91.48529845,1.09369,3.49,4.41,0,0,0.411451142,0.45
IFASOZ,None,core-mof-ddec-1047,1,0.270833585,4.526676399,20.02201,7.282403467,178.5193614,0.745691,7.32,9.65,1708.62,2291.32,0.764391685,0.57
IFEHUY,None,core-mof-ddec-1048,1,0.214615439,4.988346627,14.0113,12.49943502,208.9138891,1.037,10.13,11.32,1488.15,1435.05,0.6268081,0.65
IFENOY01,None,core-mof-ddec-1049,1,0.079373271,2.368225464,13.61365,9.368425054,217.7520492,1.33111,5.78,7.24,447.653,336.301,0.097662853,0.13
AVESAW,None,core-mof-ddec-105,1,0.233037654,10.6197755,17.90077,2.28646689,68.22030928,2.03317,2.47,4.33,0,0,0.073776418,0.15
IFENOY02,None,core-mof-ddec-1050,1,0.087157358,2.586221614,19.67756,0.711537429,32.42552277,1.32381,5.76,7.27,447.595,338.11,0.098201404,0.13
IFENOY,None,core-mof-ddec-1051,1,0.08282981,2.505306768,18.06634,2.340365585,69.44570405,1.34939,5.79,7.3,452.389,335.253,0.088929072,0.12
IFEPUG,None,core-mof-ddec-1052,1,0.184792945,5.586925343,17.9963,2.245854874,67.92911167,1.34881,8.15,8.5,574.77,426.13,0.155692796,0.21
IFEQAN,None,core-mof-ddec-1053,1,0.183487687,5.547804581,17.41215,2.60667446,78.80872062,1.3489,8.16,8.46,607.577,450.425,0.155682408,0.21
IFEQIV,None,core-mof-ddec-1054,1,0.129732513,3.847489087,17.62898,2.612810869,78.99911081,1.3231,7.9,8.23,604.908,457.189,0.151160154,0.2
IGAHAB,None,core-mof-ddec-1055,1,0.507639378,12.48123564,16.48424,2.74865041,81.51697831,1.09695,5.91,8.08,1113.45,1015.04,0.455809289,0.5
IGAHED01,None,core-mof-ddec-1056,1,0.47509596,16.18642214,16.81041,6.516575928,160.2218489,1.52002,3.29,4.38,0,0,0.151313799,0.23
IGAHED02,None,core-mof-ddec-1057,1,0.514083636,17.70522011,19.35323,3.826312208,130.361674,1.53655,3.28,4.36,0,0,0.149685985,0.23
IGAHED,None,core-mof-ddec-1058,1,0.49345609,16.84162323,19.2722,3.730817453,128.490657,1.5227,3.29,4.38,0,0,0.151047481,0.23
IGOCOX,None,core-mof-ddec-1059,1,0.323404646,8.892345686,19.66526,3.824316542,130.5236669,1.22663,2.56,12.17,0,0,0.513602309,0.63
AVIMOI,ZnO,core-mof-ddec-106,1,0.691729535,19.01174511,15.76205,7.058417042,194.0784866,1.22616,4.39,5.73,825.804,673.49,0.285443988,0.35
IHIWIF,None,core-mof-ddec-1060,1,0.095236503,4.41468451,19.45893,4.28645699,117.8105366,2.06811,2.56,4.72,0,0,0.116047986,0.24
IJANAJ,ZnO,core-mof-ddec-1061,1,0.235933244,7.487236229,16.83689,1.669937044,77.4098692,1.41576,3.01,4.15,0,0,0.105950161,0.15
IJANEN,ZnO,core-mof-ddec-1062,1,0.292154315,9.268801622,21.73308,2.658846378,84.37730335,1.41537,2.88,4,0,0,0.105979355,0.15
IJASAO01,None,core-mof-ddec-1063,1,0.677209854,18.47229292,22.20906,2.892149825,91.75549221,1.21698,3.81,5.98,905.691,744.21,0.271163043,0.33
IJASAO,None,core-mof-ddec-1064,1,0.654972794,17.86573134,19.35556,4.526335846,123.4651285,1.21698,4.05,5.8,854.251,701.942,0.271163043,0.33
IJASES01,None,core-mof-ddec-1065,1,0.507767197,18.58330315,18.93178,4.416461986,120.4680928,1.63283,2.92,4.87,0,0,0.177605752,0.29
IJASES,None,core-mof-ddec-1066,1,0.519377319,19.00821131,19.60928,3.038880944,111.2171999,1.63283,2.92,4.87,0,0,0.177605752,0.29
IJASIW,None,core-mof-ddec-1067,1,0.682708412,24.35270152,19.60291,3.015225738,110.3514648,1.59147,3.36,4.37,0,0,0.131953477,0.21
IJASOC,None,core-mof-ddec-1068,1,0.52342308,11.95946248,21.84891,1.740118464,62.07128089,1.0194,5.88,6.31,1628.89,1597.9,0.490484599,0.5
IJENER,None,core-mof-ddec-1069,1,0.53862237,19.86340413,16.0596,8.163192359,186.5171724,1.64534,2.58,6,0,0,0.218799762,0.36
AVIMUO,None,core-mof-ddec-107,1,0.49933022,13.8885466,19.35535,2.454529079,90.51852613,1.24095,3.64,5.71,0,0,0.257866957,0.32
IJEXUR,ZnO,core-mof-ddec-1070,1,0.213054936,7.05004584,19.42353,4.095014233,113.900168,1.47624,2.86,5.06,0,0,0.12870536,0.19
IJIROI,None,core-mof-ddec-1071,1,0.066074988,3.677587093,18.94415,1.984555937,65.66949634,2.48316,2.91,3.81,0,0,0.056379774,0.14
IJOMOJ02,None,core-mof-ddec-1072,1,0.131486792,4.760085503,15.79986,0.962155772,53.55145318,1.61514,3.94,4.95,587.722,363.883,0.154785344,0.25
IJOMOJ04,None,core-mof-ddec-1073,1,0.134245926,4.869187704,15.88077,2.332739317,84.44984063,1.6182,3.96,4.94,617.951,381.874,0.154492646,0.25
IJOMOJ06,None,core-mof-ddec-1074,1,0.130880038,4.761196617,16.16336,2.373353516,86.08308732,1.62301,3.92,4.91,608.385,374.85,0.154034787,0.25
IJOMOJ07,None,core-mof-ddec-1075,1,0.132738621,4.806886601,15.96383,2.308820435,83.99102137,1.61564,3.94,4.94,597.963,370.109,0.154737442,0.25
IKEBUV01,None,core-mof-ddec-1076,1,0.260681266,7.519424784,15.90222,2.355291406,85.29257431,1.28693,3.9,4.91,1280.54,995.034,0.326358077,0.42
IKEBUV,None,core-mof-ddec-1077,1,0.264864496,7.699329351,16.23911,6.528675496,188.3214896,1.29691,3.89,4.88,1274.74,982.907,0.323846682,0.42
IKETAU,None,core-mof-ddec-1078,1,0.242512385,8.429359028,16.26244,6.432297656,186.9800556,1.55077,4.34,5.61,1298.15,837.1,0.238591151,0.37
IKETEY,None,core-mof-ddec-1079,1,0.245465379,8.889673497,16.91301,4.371306285,151.9399104,1.61573,4.26,5.51,1246.83,771.683,0.222809504,0.36
