DDEC Code,Ref. code,Code,Uptake @ 1bar (mol/kg),Uptake @ 1bar (cm³(STP)/cm³),Uptake @ 5bar (mol/kg),Uptake @ 5bar (cm³(STP)/cm³),Uptake @ 10bar (mol/kg),Uptake @ 10bar (cm³(STP)/cm³),Uptake @ 20bar (mol/kg),Uptake @ 20bar (cm³(STP)/cm³),Uptake @ 30bar (mol/kg),Uptake @ 30bar (cm³(STP)/cm³),Uptake @ 50bar (mol/kg),Uptake @ 50bar (cm³(STP)/cm³),Uptake @ 80bar (mol/kg),Uptake @ 80bar (cm³(STP)/cm³),Uptake @ 100bar (mol/kg),Uptake @ 100bar (cm³(STP)/cm³),Uptake @ 140bar (mol/kg),Uptake @ 140bar (cm³(STP)/cm³),Uptake @ 200bar (mol/kg),Uptake @ 200bar (cm³(STP)/cm³),QST @ 5bar (kJ/mol),QST @ 140bar (kJ/mol),Deliverable @ 30bar (mol/kg),Deliverable @ 30bar (cm³(STP)/cm³),Deliverable @ 80bar (mol/kg),Deliverable @ 80bar (cm³(STP)/cm³),Deliverable @140bar (mol/kg),Deliverable @ 140bar (cm³(STP)/cm³),Deliverable @ 200bar (mol/kg),Deliverable @ 200bar (cm³(STP)/cm³),Density (g/cm³),PLD (Å),LCD (Å),VSA (m²/cm³),GSA (m²/g),VF
AFIXAO,AFIXAO,core-mof-ddec-1,0.337870382,8.498534406,1.267415338,31.87960065,2.040865731,51.33438308,2.99168081,75.25046181,3.609282662,90.78514868,4.366107139,109.8217355,5.021315847,126.3023566,5.292363167,133.1200745,5.710704365,143.6427106,6.121362766,153.9720994,15.65047,16.56438,2.341867324,58.90554803,3.753900509,94.42275595,4.443289027,111.76311,4.853947428,122.0924988,1.12223,4.5,6.3,1039.3,926.107,0.34
ABUWOJ,ABUWOJ,core-mof-ddec-10,0.568666064,14.76547762,2.213504318,57.4738859,3.505191722,91.01269307,4.963837585,128.8865952,5.792395707,150.400199,6.726244734,174.6476929,7.525551417,195.4017799,7.855875358,203.9786778,8.31550684,215.9130603,8.705927894,226.0503865,17.29886,18.20407,3.578891389,92.9263131,5.312047099,137.927894,6.102002522,158.4391744,6.492423576,168.5765006,1.15833,4.0,5.1,1023.45,883.557,0.49
AVAQIX,AVAQIX,core-mof-ddec-100,0.895626399,26.23874914,2.620082124,76.75932474,3.490120699,102.2484393,4.353166437,127.5326881,4.809418361,140.899288,5.291456734,155.0213415,5.74792481,168.394274,5.957277605,174.5275853,6.247506616,183.0302893,6.550722324,191.9134586,20.14626,19.74457,2.189336237,64.13996326,3.127842686,91.63494926,3.627424492,106.2709646,3.9306402,115.1541338,1.30707,3.6,5.5,0,0,0.44
HOWPUF,HOWPUF,core-mof-ddec-1000,0.348596874,7.592904509,1.559432643,33.96652127,2.845330297,61.97508593,4.678344998,101.9005891,5.951690497,129.6357511,7.529308074,163.9983644,8.962364053,195.2122335,9.590097315,208.8851006,10.4608246,227.8507014,11.34914844,247.1995785,13.26044,15.74358,4.392257855,95.66922983,7.402931411,161.2457122,8.901391958,193.8841801,9.789715802,213.2330573,0.971712,5.5,7.9,1852.28,1906.2,0.6
HOWQAM,HOWQAM,core-mof-ddec-1001,0.502046509,11.4213849,2.102303278,47.82667444,3.548931883,80.73697621,5.625996625,127.9894827,6.878502922,156.4835689,8.440321893,192.0144118,9.776786748,222.4185262,10.28690045,234.023437,11.10381351,252.6079275,11.88986386,270.4903016,14.60788,16.80256,4.776199644,108.6568945,7.67448347,174.5918518,9.001510232,204.7812531,9.78756058,222.6636272,1.01498,5.3,6.8,2003.55,1973.98,0.65
HOWQEQ,HOWQEQ,core-mof-ddec-1002,0.516599091,17.53322367,1.477702234,50.15278626,1.997649473,67.79964512,2.536200467,86.07791001,2.806574437,95.25432434,3.20138353,108.6540307,3.518438247,119.4147761,3.66368286,124.3443362,3.850001608,130.6679406,4.022549887,136.5241793,20.4489,20.72357,1.328872203,45.10153808,2.040736013,69.26198984,2.372299374,80.51515434,2.544847653,86.37139302,1.51423,3.4,5.0,0,0,0.27
HOXKUB,HOXKUB,core-mof-ddec-1003,0.416674692,16.02614801,1.473490763,56.67342294,2.20257418,84.7154398,2.948260953,113.3960552,3.384472441,130.1736277,3.908691935,150.3361654,4.358116056,167.6219224,4.535289879,174.4363846,4.814054063,185.1582166,5.079746691,195.3772903,17.74474,18.81445,1.910981678,73.50020476,2.884625293,110.9484995,3.3405633,128.4847937,3.606255927,138.7038674,1.716,4.2,6.3,1022.8,596.037,0.49
HOYTUL,HOYTUL,core-mof-ddec-1004,0.157213257,4.889237825,0.633249573,19.69368119,1.104139725,34.33808194,1.710839872,53.20609193,2.091232949,65.03608805,2.603641933,80.97169953,3.051100709,94.8873986,3.242837878,100.8503093,3.544976143,110.2466278,3.849597811,119.7201786,15.10654,16.25122,1.457983376,45.34240686,2.417851136,75.19371741,2.91172657,90.55294661,3.216348238,100.0264974,1.38751,3.5,5.5,0,0,0.28
HUCLIB,HUCLIB,core-mof-ddec-1005,0.121018555,6.012460241,0.473203404,23.50975554,0.747948233,37.15966528,1.051674851,52.24945223,1.205711618,59.90232772,1.357553757,67.44616943,1.461530428,72.61195242,1.510285038,75.03418559,1.550970334,77.05551796,1.598511196,79.41744949,22.1262,22.77856,0.732508214,36.39257218,0.988327024,49.10219688,1.07776693,53.54576242,1.125307792,55.90769395,2.21655,3.3,3.7,0,0,0.09
HUHJAW,HUHJAW,core-mof-ddec-1006,0.037882755,1.794191166,0.16425441,7.779365877,0.29828814,14.12742936,0.498637721,23.61632343,0.590841992,27.98327317,0.77881168,36.88583459,0.923409679,43.73423969,0.951302995,45.0553142,1.046542653,49.566025,1.106696598,52.4150173,21.96301,20.70428,0.426587582,20.20390729,0.759155269,35.95487381,0.882288243,41.78665912,0.942442188,44.63565143,2.11306,2.5,3.7,0,0,0.07
