ddec-code,VF,Metal_density(g/cm^3),density_g_cm3,PLD,LCD,vsa_m2_cm3,gsa_m2_g,PoreVolum_cm3_g,Qst_CO,Qst_N2,Delta_Qst,CO_des,N2_des,CO_40bar,N2_40bar,CO_200K,N2_200K,CO_PTSA,N2_PTSA,S_PSA,S_TSA,S_TSA+,Delta_PSA,Delta_TSA-,Delta_TSA+,Regenerability_PSA,Regenerability_TSA-,Regenerability_TSA+,Recovery_PSA,Recovery_TSA-,Recovery_TSA+,Purity_PSA,Purity_TSA-,Purity_TSA+,Cyclic_working_cap_PSA,Cyclic_working_cap_TSA-,Cyclic_work_cap_TSA+,URL
ACUFEK,0.8,0.099918096,0.56,9.01,15.56,2175.45,3888.68,1.44,13.04,10.39,2.65,0.3,0.15,5.64,2.86,3.09,1.06,15.56,5.47,1.97,2.91,1.95,5.34,2.79,0.23,94.7,90.32,75.77,0.62,0.95,0.34,0.606057769,0.951722085,0.522952152,7.840369068,6.463905896,0.133104505,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACUFEK
ADASAB,0.9,0.07753793,0.31,13.49,27.51,1550.89,4928.79,2.86,9.08,7.11,1.97,0.19,0.1,5.5,2.92,1.54,0.59,20.46,8.28,1.88,2.6,1.84,5.31,1.35,0.13,96.54,87.62,68.71,0.56,0.73,0.24,0.567130264,0.732266356,0.525470554,8.774962447,8.394039831,0.076015876,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADASAB
ADASEF,0.87,0.125920463,0.44,10.93,21.62,1824.72,4188.91,2.01,13.39,10.12,3.27,0.35,0.15,6.44,2.81,3.52,0.95,19.42,6.12,2.29,3.72,2.33,6.1,3.18,0.26,94.62,90.17,75.62,0.63,0.98,0.33,0.616159391,0.96930295,0.529530864,9.128989759,6.14217914,0.141800778,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADASEF
ADASIJ,0.81,0.141944367,0.63,6.61,18.25,2095.63,3330.37,1.28,14.09,11.32,2.77,0.43,0.19,6.41,2.69,4.96,1.36,15.04,4.1,2.38,3.66,2.27,5.98,4.53,0.33,93.34,91.39,77.08,0.54,0.18,0.28,0.552244966,0.195189225,0.453371134,5.468224993,0.428537239,0.1106853,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADASIJ
ADATIK,0.89,0.099415987,0.38,12.17,24.54,1716.73,4546.75,2.34,11.83,8.99,2.83,0.28,0.13,5.85,2.7,2.93,0.83,18.87,6.87,2.17,3.52,2.12,5.57,2.64,0.21,95.14,90.28,74.87,0.49,0.96,0.32,0.516579156,0.954922026,0.525811103,6.339369507,6.200877443,0.122644026,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADATIK
ADOGEH,0.7,0.277369051,1.01,5.06,12.7,1579.5,1562.14,0.69,22.35,19.1,3.25,0.7,0.27,5.77,1.85,6.69,1.43,10.87,1.65,3.12,4.67,2.62,5.08,6,0.56,87.94,89.6,80.16,0.67,0.79,0.51,0.691259866,0.827870651,0.648155868,6.117133854,5.997791067,0.368007242,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADOGEH
AGAXOV,0.71,0.241204305,0.89,5.31,7.05,2447.34,2759.1,0.8,15.11,12.77,2.34,0.56,0.23,6.24,2.03,6.81,1.58,12.91,1.99,3.07,4.31,2.46,5.69,6.26,0.44,91.11,91.85,79.27,0.57,0.93,0.47,0.596429894,0.952418195,0.602493542,5.890480979,5.353956653,0.325890355,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AGAXOV
AGAXUB,0.82,0.146194106,0.54,8.95,10.03,2151.61,4002.13,1.53,11.13,9.13,2,0.22,0.12,5.28,2.46,2.11,0.74,17.56,5.21,2.15,2.87,1.94,5.05,1.89,0.16,95.78,89.45,72.5,0.63,0.86,0.39,0.616275007,0.887585424,0.547006041,7.511753339,4.021981396,0.128681829,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AGAXUB
AGAYAI,0.73,0.123148271,0.64,7.74,9.94,2101.96,3269.32,1.13,12.45,10.16,2.29,0.24,0.12,4.91,2.4,2.75,0.93,12.93,4.15,2.04,2.95,1.94,4.67,2.5,0.18,95.08,91.21,74.76,0.6,0.89,0.43,0.586681446,0.7175478,0.559497441,6.458027749,4.03405633,0.151954423,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AGAYAI
AGAYEM,0.71,0.26303565,0.97,5.02,11.47,1764.84,1824.53,0.74,20.92,17.9,3.02,0.7,0.26,5.76,1.8,6.32,1.28,10.62,1.54,3.2,4.93,2.72,5.06,5.61,0.57,87.81,88.88,81.05,0.48,0.29,0.37,0.507806386,0.435081081,0.533507941,1.181338659,0.177221977,0.101004718,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AGAYEM
