NAME,Density (g/cm3),Pore limiting diameter (A),Largest cavity diameter (A),Volum. Surface area (m2/cm3),Grav. Surface area (m2/g),Helium void fraction (-),Pore volume (cm3/g),Porosity,Mixture,MF Methane,MF Ethane,MF Ethylene,MF Propane,MF Propylene,MF CO2,MF CO,MF N2,Total grav. Uptake (mol/kg),Total volum. uptake (cm3/cm3),Grav. Uptake Methane (mol/kg),Grav. Uptake Ethane (mol/kg),Grav. Uptake Ethylene (mol/kg),Grav. Uptake Propane (mol/kg),Grav. Uptake Propylene (mol/kg),Grav. Uptake CO2 (mol/kg),Grav. Uptake CO (mol/kg),Grav. Uptake N2 (mol/kg),Volum. Uptake Methane (cm3/cm3),Volum. Uptake Ethane (cm3/cm3),Volum. Uptake Ethylene (cm3/cm3),Volum. Uptake Propane (cm3/cm3),Volum. Uptake Propylene (cm3/cm3),Volum. Uptake CO2 (cm3/cm3),Volum. Uptake CO (cm3/cm3),Volum. Uptake N2 (cm3/cm3),Selectivity Methane/Mixture,Selectivity Ethane/Ethylene,Selectivity Propane/Propylene,Adsorbed MF Methane,Adsorbed MF Ethane,Adsorbed MF Ethylene,Adsorbed MF Propane,Adsorbed MF Propylene,Adsorbed MF CO2,Adsorbed MF CO,Adsorbed MF N2,Qst Methane (kJ/mol),Qst Ethane (kJ/mol),Qst Ethylene (kJ/mol),Qst Propane (kJ/mol),Qst Propylene (kJ/mol),Qst CO2 (kJ/mol),Qst CO (kJ/mol),Qst N2 (kJ/mol),MOF Density (g/cm3),Pore Limiting Diameter (A),Largest Cavity Diameter (A),Volum. Surface Area (m2/cm3),Grav. Surface Area (m2/g),Helium Void Fraction (-),Pore Volume (cm3/g),QST Methane (kJ/mol),QST Ethane (kJ/mol),QST Ethylene (kJ/mol),QST Propane (kJ/mol),QST Propylene (kJ/mol),QST CO2 (kJ/mol),QST CO (kJ/mol),QST N2 (kJ/mol),URL
AFIXAO,1.122,4.07,5.76,1110.205135,989.300471,0.338207,0.3014,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.6237,65.9952,0.975731293,0.931037706,0.194903474,0.13071587,0.245924577,0.137388897,0.007743654,0.000279904,24.54280222,23.41861374,4.902453614,3.287927496,6.185799621,3.455775721,0.194777984,0.007040495,0.104483309,1.99038206,1.59458487,37.1,35.4,7.4,4.9,9.3,5.2,0.2,0,19.67739052,31.81887708,28.5699793,42.30386202,39.60038634,25.02896719,15.91393873,14.91022384,[1.1-1.2),[4.0-4.25),[5.75-6.0),[1000-1200),[750-1000),[0.3-0.35),[0.3-0.35),[19-20),[30-32),[28-30),[42-46),[38-40),[24-26),[14-16),[14-15),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AFIXAO
ABEXIQ,1.788,3.76,4.65,870.349769,486.882411,0.320339,0.1791,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.7804,151.4703,0.152888918,0.031329422,0.012321938,0.000339671,0.001789964,3.580396004,0.001283928,5.93E-05,6.125825709,1.255281148,0.493705147,0.013609645,0.071718774,143.4563227,0.051443344,0.002375531,0.007437697,1.059405227,0.569292048,4,0.8,0.3,0,0,94.7,0,0,19.97121696,30.55937402,27.67852272,40.51874372,38.34038394,56.68662284,17.65425183,18.69234418,[1.6-1.8),[3.6-3.8),[4.5-4.75),[750-875),[250-500),[0.3-0.35),[0.15-0.2),[19-20),[30-32),[27-28),[40-41),[38-40),[50-60),[17-18),[18-19),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ABEXIQ
ABEXOW,1.812,3.75,4.62,851.241257,469.66794,0.31631,0.1745,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.6287,147.4126,0.193774379,0.041365924,0.016216368,0.000522898,0.002629526,3.372619133,0.001537039,5.80E-05,7.87185345,1.680441395,0.658770641,0.02124211,0.106821372,137.0086369,0.062440391,0.002354876,0.009955164,1.062864481,0.59656907,5.3,1.1,0.4,0,0,92.9,0,0,20.16808035,30.86537968,27.92838548,40.89675238,38.70269884,53.48151678,17.6360045,18.30198627,[1.8-2.0),[3.6-3.8),[4.5-4.75),[750-875),[250-500),[0.3-0.35),[0.15-0.2),[20-21),[30-32),[27-28),[40-41),[38-40),[50-60),[17-18),[18-19),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ABEXOW
ABEXUC,1.848,3.58,4.64,834.788668,451.698064,0.311531,0.1685,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.6307,150.3959,0.162449322,0.023322117,0.010485545,0.000174034,0.001045968,3.431827335,0.001331125,5.21E-05,6.729226047,0.966084643,0.434348408,0.007209102,0.043327679,142.1584378,0.05513989,0.002159483,0.008265732,0.926756634,0.499156714,4.4,0.6,0.2,0,0,94.5,0,0,20.35373489,31.15207319,28.20878888,41.28106515,39.14042026,58.7354866,17.91370773,18.85783303,[1.8-2.0),[3.4-3.6),[4.5-4.75),[750-875),[250-500),[0.3-0.35),[0.15-0.2),[20-21),[30-32),[28-30),[41-42),[38-40),[50-60),[17-18),[18-19),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ABEXUC
ABEYAJ,1.906,3.62,4.58,812.473885,426.173825,0.309309,0.1622,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.498,149.474,0.143452327,0.016928069,0.008010245,0.000119058,0.000724754,3.327539458,0.00121351,4.76E-05,6.129839912,0.723350778,0.34228456,0.005087469,0.030969348,142.1885905,0.051854312,0.002033341,0.007546428,0.880542665,0.492822804,4.1,0.4,0.2,0,0,95.1,0,0,20.60788845,31.54629528,28.5505304,41.70189123,39.56711261,57.95711983,18.00912812,18.50737145,[1.8-2.0),[3.6-3.8),[4.5-4.75),[750-875),[250-500),[0.3-0.35),[0.15-0.2),[20-21),[30-32),[28-30),[41-42),[38-40),[50-60),[18-19),[18-19),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ABEYAJ
ABEYIR,1.97,3.52,4.57,770.121009,390.997179,0.301975,0.1532,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.3237,146.7328,0.150931314,0.014468562,0.007494117,7.81E-05,0.00057903,3.148810433,0.001295303,5.10E-05,6.663211457,0.638748079,0.330845083,0.003446738,0.025562609,139.0115097,0.057184131,0.002253315,0.008394836,0.804440045,0.404505606,4.5,0.4,0.2,0,0,94.7,0,0,20.8224594,31.94627215,28.8494114,42.10796928,39.97832039,56.28762709,18.15713533,18.44639424,[1.8-2.0),[3.4-3.6),[4.5-4.75),[750-875),[250-500),[0.3-0.35),[0.15-0.2),[20-21),[30-32),[28-30),[42-46),[38-40),[50-60),[18-19),[18-19),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ABEYIR
ABIYIV,1.347,3.05,3.68,179.785185,133.511499,0.156304,0.116,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.5165,45.7728,0.589513071,0.348303882,0.095202493,0.01246093,0.053126753,0.413918658,0.003877545,0.000135027,17.79293396,10.51265574,2.873442091,0.376101084,1.603494232,12.49306879,0.117033699,0.00407544,0.112221015,1.52439934,0.703652828,38.8,22.9,6.2,0.8,3.5,27.2,0.2,0,21.6099478,33.62810988,30.5170741,44.07900647,42.28873346,36.46488205,18.58023138,18.79257132,[1.3-1.4),[3.0-3.2),[3.4-4.0),[0-500),[0-250),[0-0.2),[0.1-0.15),[21-22),[32-34),[30-32),[42-46),[42-44),[36-40),[18-19),[18-19),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ABIYIV
ABUWOJ,1.158,3.55,4.61,1397.22748,1206.134744,0.493006,0.4257,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,5.5672,144.5536,1.186849389,0.903852421,0.226934221,0.073162307,0.198045648,2.967127042,0.010822557,0.000430285,30.81667644,23.46862869,5.892372289,1.899667447,5.142277294,77.04178379,0.281008888,0.011172394,0.047814179,1.659534532,1.108264299,21.3,16.2,4,1.3,3.5,53.2,0.1,0,19.7821073,30.23560053,27.50223741,40.01936799,37.99570489,36.3515306,17.70785621,17.62984877,[1.1-1.2),[3.4-3.6),[4.5-4.75),[1200-1400),[1000-1250),[0.45-0.5),[0.4-0.5),[19-20),[30-32),[27-28),[40-41),[36-38),[36-40),[17-18),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ABUWOJ
ACAKUM,1.59,3.31,4.29,554.910659,348.941844,0.225424,0.1417,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,4.8254,171.9972,2.92E-05,1.04E-06,2.61E-07,0,0,4.825357927,1.04E-06,2.61E-07,0.001039926,3.71E-05,9.29E-06,0,0,171.9960395,3.71E-05,9.29E-06,1.07E-06,1.666666667,0,0,0,0,0,0,99.9,0,0,21.53425902,33.15549882,29.93173868,43.50326834,41.17394307,67.86227476,20.13376731,25.38433437,[1.5-1.6),[3.2-3.4),[4.25-4.5),[500-625),[250-500),[0.2-0.25),[0.1-0.15),[21-22),[32-34),[28-30),[42-46),[40-42),[60-70),[20-21),[22-26),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACAKUM
ACODED,1.131,3.38,5.52,1077.773708,952.547411,0.441041,0.3899,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,4.0472,102.6404,0.933322604,1.578190029,0.282256431,0.374351823,0.613319347,0.259797686,0.005813954,0.0001818,23.66964071,40.023879,7.158198347,9.493794665,15.55415945,6.588630629,0.147445488,0.004610558,0.052892965,2.32972257,1.831110456,23,38.9,6.9,9.2,15.1,6.4,0.1,0,21.21997281,33.20196519,29.86486061,43.75661308,41.33979701,28.91774017,17.70627711,16.66271801,[1.1-1.2),[3.2-3.4),[5.5-5.75),[1000-1200),[750-1000),[0.4-0.45),[0.35-0.4),[21-22),[32-34),[28-30),[42-46),[40-42),[28-30),[17-18),[16-17),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACODED
