Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
GLYZNS10,1971,1.366,0.217916,73.87,0,0.145,0,3.02,4.41,1.460264901,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GLYZNS10
MGCITD,1971,1.253,0.314407,113.33,105.68,0.227,0.229,3.49,4.53,1.297994269,1D,[1.2 - 1.3),[0.3 - 0.4),[100 - 150),[100-200),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.5-4.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MGCITD
MNCITD,1973,1.366,0.302789,113.92,111.46,0.208,0.21,3.5,4.66,1.331428571,1D,[1.3 - 1.4),[0.3 - 0.4),[100 - 150),[100-200),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MNCITD
NICHOC10,1973,0.983,0.509843,997.71,1003.1,0.536,0.533,4.54,6.05,1.332599119,1D,[0.8 - 1.0),[0.5 - 0.6),[800 - 1000),[1000-1500),[0.5 - 0.6),[0.5-0.6),[4.5-5.0),[6.0-6.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NICHOC10
ETUZNT,1975,0.94,0.571049,1033.27,1018.93,0.556,0.556,3.94,5.11,1.296954315,2D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.5 - 0.6),[0.5-0.6),[3.8-4.0),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETUZNT
PAZHGN,1975,6.041,0.601834,24.41,0,0.07,0,2.77,4.35,1.570397112,1D,[2.0 - 7.0],[0.6 - 0.7),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAZHGN
PYRCOC01,1975,0.869,0.663655,2269.77,2245,0.708,0.712,9.86,9.98,1.012170385,1D,[0.8 - 1.0),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PYRCOC01
ACUFUR,1976,1.144,0.330637,100.4,0,0.344,0,2.92,4.27,1.462328767,1D,[1.1 - 1.2),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACUFUR
DODNCU,1976,0.791,0.399747,511.5,0,0.408,0,2.59,5.75,2.22007722,2D,[0.6 - 0.8),[0.3 - 0.4),[500 - 600),[0.0-0.05),[0.4 - 0.5),[0.0-0.01),[2.2-2.6),[5.6-6.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DODNCU
IMZYCO,1976,1.51,0.066196,4.31,0,0.031,0,1.27,4.14,3.25984252,3D,[1.5 - 1.6),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IMZYCO
CUGMPP,1977,1.719,0.06653,8.7,0,0.025,0,1.61,4.57,2.838509317,1D,[1.6 - 1.8),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CUGMPP
