Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
GLYZNS10,1971,1.366,0.218,73.870,0.145,3.020,4.410,1.460,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[3.0-3.3),[4.4-4.5),[1.4-1.5)
MGCITD,1971,1.253,0.314,113.330,0.227,3.490,4.530,1.298,1D,[1.2-1.3),[0.3-0.4),[100-150),[0.2-0.3),[3.3-3.6),[4.5-4.6),[1.2-1.3)
MNCITD,1973,1.366,0.303,113.920,0.208,3.500,4.660,1.331,1D,[1.3-1.4),[0.3-0.4),[100-150),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.3-1.4)
NICHOC10,1973,0.983,0.510,997.710,0.536,4.540,6.050,1.333,1D,[0.8-1.0),[0.5-0.6),[800-1000),[0.5-0.6),[4.5-5.0),[6.0-6.5),[1.3-1.4)
PAZHGN,1975,6.041,0.602,24.410,0.070,2.770,4.350,1.570,1D,[2.0-7.0],[0.6-0.7),[0-50),[0.0-0.1),[2.6-3.0),[4.3-4.4),[1.5-1.6)
ETUZNT,1975,0.940,0.571,1033.270,0.556,3.940,5.110,1.297,2D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.5-0.6),[3.8-4.0),[5.0-5.3),[1.2-1.3)
PYRCOC01,1975,0.869,0.664,2269.770,0.708,9.860,9.980,1.012,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.0-1.1)
IMZYCO,1976,1.510,0.066,4.310,0.031,1.270,4.140,3.260,3D,[1.5-1.6),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
DODNCU,1976,0.791,0.400,511.500,0.408,2.590,5.750,2.220,2D,[0.6-0.8),[0.3-0.4),[500-600),[0.4-0.5),[2.2-2.6),[5.6-6.0),[2.0-2.5)
ACUFUR,1976,1.144,0.331,100.400,0.344,2.920,4.270,1.462,1D,[1.1-1.2),[0.3-0.4),[100-150),[0.3-0.4),[2.6-3.0),[4.2-4.3),[1.4-1.5)
CUGMPP,1977,1.719,0.067,8.700,0.025,1.610,4.570,2.839,1D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[1.6-2.2),[4.5-4.6),[2.5-3.0)
DTHHGN10,1977,2.892,0.399,21.270,0.162,2.390,4.270,1.787,2D,[2.0-7.0],[0.3-0.4),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8)
PYDSCU10,1977,0.681,0.687,2969.210,0.921,6.310,7.610,1.206,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.2-1.3)
ETDSCU,1978,1.030,0.464,1207.120,0.455,4.640,5.720,1.233,1D,[1.0-1.1),[0.4-0.5),[1000-1250),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3)
BCETPN,1978,0.931,0.477,1188.050,0.498,6.640,7.160,1.078,1D,[0.8-1.0),[0.4-0.5),[1000-1250),[0.4-0.5),[6.0-8.0),[7.0-8.0),[1.0-1.1)
MTACHH,1979,1.130,0.533,1523.420,0.487,7.020,8.110,1.155,1D,[1.1-1.2),[0.5-0.6),[1500-2000),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2)
