Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
GLYZNS10,All Years,1.366,0.217916,73.87,0.145,3.02,4.41,1.460264901,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[3.0-3.3),[4.4-4.5),[1.4-1.5)
MGCITD,All Years,1.253,0.314407,113.33,0.227,3.49,4.53,1.297994269,1D,[1.2-1.3),[0.3-0.4),[100-150),[0.2-0.3),[3.3-3.6),[4.5-4.6),[1.2-1.3)
MNCITD,All Years,1.366,0.302789,113.92,0.208,3.5,4.66,1.331428571,1D,[1.3-1.4),[0.3-0.4),[100-150),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.3-1.4)
NICHOC10,All Years,0.983,0.509843,997.71,0.536,4.54,6.05,1.332599119,1D,[0.8-1.0),[0.5-0.6),[800-1000),[0.5-0.6),[4.5-5.0),[6.0-6.5),[1.3-1.4)
PAZHGN,All Years,6.041,0.601834,24.41,0.07,2.77,4.35,1.570397112,1D,[2.0-7.0],[0.6-0.7),[0-50),[0.0-0.1),[2.6-3.0),[4.3-4.4),[1.5-1.6)
ETUZNT,All Years,0.94,0.571049,1033.27,0.556,3.94,5.11,1.296954315,2D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.5-0.6),[3.8-4.0),[5.0-5.3),[1.2-1.3)
PYRCOC01,All Years,0.869,0.663655,2269.77,0.708,9.86,9.98,1.012170385,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.0-1.1)
IMZYCO,All Years,1.51,0.066196,4.31,0.031,1.27,4.14,3.25984252,3D,[1.5-1.6),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
DODNCU,All Years,0.791,0.399747,511.5,0.408,2.59,5.75,2.22007722,2D,[0.6-0.8),[0.3-0.4),[500-600),[0.4-0.5),[2.2-2.6),[5.6-6.0),[2.0-2.5)
ACUFUR,All Years,1.144,0.330637,100.4,0.344,2.92,4.27,1.462328767,1D,[1.1-1.2),[0.3-0.4),[100-150),[0.3-0.4),[2.6-3.0),[4.2-4.3),[1.4-1.5)
CUGMPP,All Years,1.719,0.06653,8.7,0.025,1.61,4.57,2.838509317,1D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[1.6-2.2),[4.5-4.6),[2.5-3.0)
DTHHGN10,All Years,2.892,0.39935,21.27,0.162,2.39,4.27,1.786610879,2D,[2.0-7.0],[0.3-0.4),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8)
PYDSCU10,All Years,0.681,0.686688,2969.21,0.921,6.31,7.61,1.206022187,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.2-1.3)
ETDSCU,All Years,1.03,0.464079,1207.12,0.455,4.64,5.72,1.232758621,1D,[1.0-1.1),[0.4-0.5),[1000-1250),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3)
BCETPN,All Years,0.931,0.477035,1188.05,0.498,6.64,7.16,1.078313253,1D,[0.8-1.0),[0.4-0.5),[1000-1250),[0.4-0.5),[6.0-8.0),[7.0-8.0),[1.0-1.1)
MTACHH,All Years,1.13,0.533456,1523.42,0.487,7.02,8.11,1.155270655,1D,[1.1-1.2),[0.5-0.6),[1500-2000),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2)
TCPPHG01,All Years,0.908,0.601482,1695.89,0.635,7.86,9.71,1.235368957,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.2-1.3)
ETCSBC,All Years,1.708,0.145943,50.82,0.066,1.56,5.1,3.269230769,1D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[1.4-1.6),[5.0-5.3),[3.0-4.0)
ETCSBA,All Years,1.537,0.30871,151.54,0.152,2.07,4.77,2.304347826,1D,[1.5-1.6),[0.3-0.4),[150-200),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.0-2.5)
SACNID,All Years,0.794,0.412891,1022.3,0.567,4.21,6.48,1.539192399,1D,[0.6-0.8),[0.4-0.5),[1000-1250),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.5-1.6)
BADLOH,All Years,1.653,0.256002,83.57,0.119,1.58,5.17,3.272151899,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.1-0.2),[1.4-1.6),[5.0-5.3),[3.0-4.0)
ALTRMN,All Years,1.02,0.296251,10.06,0.271,3.07,4.21,1.371335505,1D,[1.0-1.1),[0.2-0.3),[0-50),[0.2-0.3),[3.0-3.3),[4.2-4.3),[1.3-1.4)
BELJIL,All Years,1.287,0.296872,445.78,0.188,4.81,7.03,1.461538462,1D,[1.2-1.3),[0.2-0.3),[400-500),[0.1-0.2),[4.5-5.0),[7.0-8.0),[1.4-1.5)
BUBGAG,All Years,1.08,0.46886,241.49,0.358,2.93,4.59,1.566552901,1D,[1.0-1.1),[0.4-0.5),[200-300),[0.3-0.4),[2.6-3.0),[4.5-4.6),[1.5-1.6)
BOJSUO,All Years,1.001,0.720343,3071.4,0.75,6.49,7.34,1.130970724,1D,[1.0-1.1),[0.7-0.8),[3000-10250],[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2)
BUGSOL,All Years,0.905,0.583029,1672.69,0.597,8.17,8.74,1.069767442,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.0-1.1)
CEJPEM,All Years,1.35,0.18737,13.14,0.084,1.5,4.24,2.826666667,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0)
CAHMAZ,All Years,2.284,0.387505,90.27,0.156,3.73,4.85,1.300268097,1D,[2.0-7.0],[0.3-0.4),[50-100),[0.1-0.2),[3.6-3.8),[4.8-5.0),[1.3-1.4)
CIXZIS,All Years,1.471,0.153549,39.09,0.08,2.99,4.37,1.461538462,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.6-3.0),[4.3-4.4),[1.4-1.5)
COLVEE,All Years,1.352,0.234917,214.21,0.138,4.5,4.72,1.048888889,1D,[1.3-1.4),[0.2-0.3),[200-300),[0.1-0.2),[4.5-5.0),[4.6-4.8),[1.0-1.1)
CORMIF,All Years,0.88,0.586693,1680.25,0.604,5.78,7.4,1.280276817,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.2-1.3)
COKDUB,All Years,0.801,0.691386,2609.07,0.92,7.6,8.35,1.098684211,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.0-1.1)
CUHBOW,All Years,0.705,0.519856,1458.1,0.712,10.75,11.51,1.070697674,1D,[0.6-0.8),[0.5-0.6),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1)
DEWDOY,All Years,1.736,0.155791,14.07,0.088,2.18,4.37,2.004587156,2D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5)
DELTUJ,All Years,1.164,0.191449,10.13,0.111,2.55,4.16,1.631372549,2D,[1.1-1.2),[0.1-0.2),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8)
DEHFUR,All Years,1.127,0.414403,566.28,0.354,2.73,6.06,2.21978022,3D,[1.1-1.2),[0.4-0.5),[500-600),[0.3-0.4),[2.6-3.0),[6.0-6.5),[2.0-2.5)
DISTUU,All Years,0.817,0.570046,1005.78,0.619,3.98,5.63,1.414572864,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[3.8-4.0),[5.6-6.0),[1.4-1.5)
DAHWUE,All Years,1.065,0.580952,1524.41,0.561,9.68,10.44,1.078512397,1D,[1.0-1.1),[0.5-0.6),[1500-2000),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1)
FAFMAA,All Years,1.941,0.1856,32.34,0.077,0.87,4.92,5.655172414,NON-POROUS,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
FAFMEE,All Years,1.859,0.180521,34.52,0.08,0.87,4.94,5.67816092,NON-POROUS,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
FEFNAF,All Years,2.212,0.214941,16.68,0.096,2.32,4.37,1.88362069,1D,[2.0-7.0],[0.2-0.3),[0-50),[0.0-0.1),[2.2-2.6),[4.3-4.4),[1.8-2.0)
DUYWAV,All Years,1.389,0.24088,59.55,0.137,2.81,4.8,1.708185053,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[2.6-3.0),[4.8-5.0),[1.6-1.8)
FEWNEA,All Years,1.16,0.243094,0.08,0.175,2.84,4.02,1.415492958,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.4-1.5)
DUDCEK01,All Years,1.274,0.221604,5.49,0.144,3.02,4.15,1.374172185,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[3.9-4.2),[1.3-1.4)
FAFVIR,All Years,1.58,0.269606,8.56,0.16,3.27,4.14,1.266055046,2D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[3.9-4.2),[1.2-1.3)
DUBFEL,All Years,0.995,0.548646,584.5,0.492,3.53,5.54,1.569405099,1D,[0.8-1.0),[0.5-0.6),[500-600),[0.4-0.5),[3.3-3.6),[5.3-5.6),[1.5-1.6)
FAVCAG,All Years,0.733,0.65217,2553.2,0.802,6.01,8.19,1.362728785,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
FAJZIZ,All Years,0.762,0.598823,2181.07,0.708,7.82,8.52,1.089514066,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.0-1.1)
FEJFEF,All Years,0.997,0.549615,1334.63,0.528,8.14,9.07,1.114250614,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.1-1.2)
