Refcode,Year,Density (g/cm3),Helium void fraction (-),Surface area (m2/g,Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD,Porosity
ABAVIJ,2004,1.524,0.228104,5.35,0.094,1.81,4.19,2.31491712707182,1D
ABAXIN,2016,1.474,0.181924,6.22,0.082,1.31,4.29,3.27480916030534,1D
ABAZAF01,2013,1.255,0.300517,52.54,0.17,1.4,4.56,3.25714285714286,3D
ABAZAF,2004,1.257,0.288481,49.28,0.169,1.53,4.34,2.83660130718954,2D
ABAZEI,2001,1.109,0.208772,6.93,0.142,1.8,4.16,2.31111111111111,1D
ABEFUL,2016,1.55,0.252496,32.9,0.102,3.02,4.56,1.50993377483444,1D
ABEXEM,2011,1.897,0.228263,4.75,0.106,2.98,4.22,1.41610738255034,1D
ABEXIQ,2011,1.925,0.224454,1.14,0.101,2.91,4.12,1.41580756013746,1D
ABIREJ,2005,1.491,0.282949,5.28,0.162,2.57,4.2,1.63424124513619,1D
ABIXEP,2005,1.486,0.411588,558.6,0.254,4.59,6.49,1.41394335511983,1D
ABOBUQ,2012,1.436,0.352576,69.5,0.197,3.39,4.29,1.26548672566372,1D
ABOCAV,2001,1.552,0.149363,3.2,0.066,1.26,4.12,3.26984126984127,1D
ABOWIA,2016,0.819,0.593097,920.65,0.693,3.29,5.61,1.70516717325228,1D
ABUBOQ,2012,2.405,0.199094,9.25,0.076,2.64,4.31,1.63257575757576,1D
ABULAL,2005,1.483,0.352357,146.25,0.179,3.21,4.85,1.51090342679128,1D
ABULUG,2011,0.357,0.843427,5875.72,2.303,9.28,10.56,1.13793103448276,1D
ACAFAN,2013,1.276,0.312691,102.92,0.176,2.52,4.76,1.88888888888889,2D
ACAFER,2013,1.311,0.281693,35.63,0.151,2.2,4.39,1.99545454545455,1D
ACAFIT,2001,1.727,0.252705,53.17,0.112,2.71,4.63,1.70848708487085,1D
ACAFIV,2013,1.307,0.22014,0.42,0.096,1.91,4.08,2.13612565445026,1D
ACAFOB,2013,1.302,0.227771,0.97,0.099,1.92,4.11,2.140625,1D
ACAFOZ,2001,1.629,0.332395,149.22,0.151,3.13,4.91,1.56869009584665,1D
ACAGAM,2001,2.344,0.130389,29.88,0.046,2.08,4.79,2.30288461538462,1D
ACAJOF,2013,1.218,0.36134,601.05,0.24,5.63,6.37,1.13143872113677,1D
ACASUT,2005,1.062,0.639495,1199.19,0.57,4.05,5.72,1.41234567901235,1D
ACATAB,2013,0.596,0.764238,2967.34,1.189,7.25,8.46,1.16689655172414,1D
ACATIJ,2013,1.362,0.297113,197.75,0.169,3.2,5.46,1.70625,1D
ACEGOG,2013,1.42,0.325417,59.23,0.192,2.9,4.39,1.51379310344828,1D
ACEKOK,2013,1.333,0.346678,380.25,0.211,3.85,5.83,1.51428571428571,1D
ACELIF,2013,0.759,0.657457,2140.83,0.739,6.59,7.86,1.19271623672231,2D
ACENIF,2002,1.313,0.32865,317.21,0.221,3.73,5.11,1.36997319034853,1D
ACEPIH,2002,1.186,0.162151,4.66,0.08,1.47,4.16,2.82993197278912,1D
ACIBIY,2006,1.807,0.091242,23.74,0.036,1.71,4.83,2.82456140350877,3D
ACIBOE,2006,1.273,0.469122,631.31,0.319,6.99,8.15,1.16595135908441,1D
ACICOH,2017,1.25,0.435416,211.51,0.266,3.56,5.04,1.41573033707865,1D
ACIPAF,2013,0.703,0.577248,2376.35,0.765,5.45,6.89,1.26422018348624,2D
ACODAA,2017,1.017,0.55239,1098.02,0.474,5.78,6.3,1.08996539792388,1D
ACOLAG,2006,0.395,0.823492,3393.1,2.167,13.65,14.13,1.03516483516484,1D
ACOLIP,2012,1.049,0.440926,96.15,0.334,3.16,4.61,1.45886075949367,1D
ACOQEP,2006,1.615,0.32371,132.45,0.175,3.55,4.61,1.29859154929577,1D
ACOZAW,2017,1.029,0.580184,1651.79,0.642,4.45,7.43,1.66966292134831,2D
ACOZOH,2002,1.491,0.183778,18.6,0.092,1.1,4.4,4,3D
ACOZUN,2002,1.641,0.184259,18.22,0.087,1.12,4.5,4.01785714285714,1D
ACUCAC,2002,0.321,0.878125,7014.09,2.566,8.75,11.39,1.30171428571429,2D
ACUDAD,2002,1.225,0.292545,1.13,0.172,2.62,4.1,1.56488549618321,1D
ACUFUR01,1992,1.146,0.324337,102.97,0.344,2.89,4.36,1.50865051903114,2D
ACUFUR,1976,1.144,0.330637,100.4,0.344,2.92,4.27,1.46232876712329,1D
ACURUO,2017,1.106,0.505612,972.43,0.373,4.14,6.63,1.60144927536232,1D
ACUTOI,2006,1.782,0.213242,99.21,0.1,4.07,4.8,1.17936117936118,1D
ADABUE,2013,1.466,0.219041,3.84,0.091,2.9,4.1,1.41379310344828,1D
ADAFAN01,2013,0.921,0.454184,185.76,0.445,3.1,4.68,1.50967741935484,1D
ADASEF,2013,0.467,0.838986,3899.67,1.725,9.66,21.53,2.2287784679089,3D
ADAWOS,2006,1.229,0.444794,8.1,0.319,3.2,4.16,1.3,2D
