Refcode,Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),LCD/PLD,Porosity,Density [binned] (g/cm3),HVF [binned],Surface area [binned] (m2/g),Free volume [binned] (cm3/g),PLD [binned] (A),LCD [binned] (A),LCD/PLD [binned]
ABAVIJ,1.524,0.228,5.35,0.094,1.81,4.19,2.315,1D,1.5,0.2,0,0,1.8,4,2
ABAXIN,1.474,0.182,6.22,0.082,1.31,4.29,3.275,1D,1.4,0.1,0,0,1,4.2,3
ABAZAF01,1.255,0.301,52.54,0.17,1.4,4.56,3.257,3D,1.2,0.3,50,0.1,1.4,4.5,3
ABAZAF,1.257,0.288,49.28,0.169,1.53,4.34,2.837,2D,1.2,0.2,0,0.1,1.4,4.3,2.5
ABAZEI,1.109,0.209,6.93,0.142,1.8,4.16,2.311,1D,1.1,0.2,0,0.1,1.8,4,2
ABEFUL,1.55,0.252,32.9,0.102,3.02,4.56,1.510,1D,1.5,0.2,0,0.1,3,4.5,1.5
ABEXEM,1.897,0.228,4.75,0.106,2.98,4.22,1.416,1D,1.8,0.2,0,0.1,2.6,4.2,1.4
ABEXIQ,1.925,0.224,1.14,0.101,2.91,4.12,1.416,1D,1.8,0.2,0,0.1,2.6,4,1.4
ABIREJ,1.491,0.283,5.28,0.162,2.57,4.2,1.634,1D,1.4,0.2,0,0.1,2.2,4.2,1.6
ABIXEP,1.486,0.412,558.6,0.254,4.59,6.49,1.414,1D,1.4,0.4,500,0.2,4.5,6,1.4
ABOBUQ,1.436,0.353,69.5,0.197,3.39,4.29,1.265,1D,1.4,0.3,50,0.1,3.3,4.2,1.2
ABOCAV,1.552,0.149,3.2,0.066,1.26,4.12,3.270,1D,1.5,0.1,0,0,1,4,3
ABOWIA,0.819,0.593,920.65,0.693,3.29,5.61,1.705,1D,0.8,0.5,800,0.6,3,5.6,1.6
ABUBOQ,2.405,0.199,9.25,0.076,2.64,4.31,1.633,1D,2,0.1,0,0,2.6,4.3,1.6
ABULAL,1.483,0.352,146.25,0.179,3.21,4.85,1.511,1D,1.4,0.3,100,0.1,3,4.8,1.5
ABULUG,0.357,0.843,5875.72,2.303,9.28,10.56,1.138,1D,0,0.8,3000,2,8,10,1.1
ACAFAN,1.276,0.313,102.92,0.176,2.52,4.76,1.889,2D,1.2,0.3,100,0.1,2.2,4.6,1.8
