Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
ABAVIJ,23766.906,21812.184,1.524,0.228104,5.35,0.094,1.81,4.19,1D
ABAXIN,39131.287,34741.728,1.474,0.181924,6.22,0.082,1.31,4.29,1D
ABAZAF01,27146.343,20515.392,1.255,0.300517,52.54,0.17,1.4,4.56,3D
ABAZAF,40666.897,30773.088,1.257,0.288481,49.28,0.169,1.53,4.34,2D
ABAZEI,23559.04,15738.08,1.109,0.208772,6.93,0.142,1.8,4.16,1D
ABEFUL,27951.717,26092.639,1.55,0.252496,32.9,0.102,3.02,4.56,1D
ABEXEM,47394.798,54132.408,1.897,0.228263,4.75,0.106,2.98,4.22,1D
ABEXIQ,46846.645,54306.72,1.925,0.224454,1.14,0.101,2.91,4.12,1D
ABIREJ,24681.455,22165.363,1.491,0.282949,5.28,0.162,2.57,4.2,1D
ABIXEP,36127.736,32334.592,1.486,0.411588,558.6,0.254,4.59,6.49,1D
ABOBUQ,39051.873,33776.922,1.436,0.352576,69.5,0.197,3.39,4.29,1D
ABOCAV,31193.482,29149.898,1.552,0.149363,3.2,0.066,1.26,4.12,1D
ABOWIA,48997.301,24169.968,0.819,0.593097,920.65,0.693,3.29,5.61,1D
ABUBOQ,34859.703,50491.008,2.405,0.199094,9.25,0.076,2.64,4.31,1D
ABULAL,39980.646,35697.053,1.483,0.352357,146.25,0.179,3.21,4.85,1D
ABULUG,27255.281,5862.8,0.357,0.843427,5875.72,2.303,9.28,10.56,1D
ACAFAN,43733.407,33611.782,1.276,0.312691,102.92,0.176,2.52,4.76,2D
ACAFER,36685.871,28964.096,1.311,0.281693,35.63,0.151,2.2,4.39,1D
ACAFIT,28423.754,29562.084,1.727,0.252705,53.17,0.112,2.71,4.63,1D
ACAFIV,52560.254,41362.872,1.307,0.22014,0.42,0.096,1.91,4.08,1D
ACAFOB,52758.42,41362.872,1.302,0.227771,0.97,0.099,1.92,4.11,1D
ACAFOZ,30132.507,29562.084,1.629,0.332395,149.22,0.151,3.13,4.91,1D
ACAGAM,30656.715,43274.52,2.344,0.130389,29.88,0.046,2.08,4.79,1D
ACAJOF,19148.27,14042.544,1.218,0.36134,601.05,0.24,5.63,6.37,1D
ACASUT,44974.116,28755.648,1.062,0.639495,1199.19,0.57,4.05,5.72,1D
ACATAB,62172.565,22328.461,0.596,0.764238,2967.34,1.189,7.25,8.46,1D
ACATIJ,30626.448,25119.518,1.362,0.297113,197.75,0.169,3.2,5.46,1D
ACEGOG,32104.199,27456.408,1.42,0.325417,59.23,0.192,2.9,4.39,1D
ACEKOK,33183.74,26646.084,1.333,0.346678,380.25,0.211,3.85,5.83,1D
ACELIF,22647.277,10347.504,0.759,0.657457,2140.83,0.739,6.59,7.86,2D
ACENIF,25592.617,20229.888,1.313,0.32865,317.21,0.221,3.73,5.11,1D
ACEPIH,31570.273,22557.744,1.186,0.162151,4.66,0.08,1.47,4.16,1D
ACIBIY,41057.692,44684.704,1.807,0.091242,23.74,0.036,1.71,4.83,3D
ACIBOE,60466.992,46347.328,1.273,0.469122,631.31,0.319,6.99,8.15,1D
ACICOH,36204.344,27243.63,1.25,0.435416,211.51,0.266,3.56,5.04,1D
ACIPAF,34602.247,14647.752,0.703,0.577248,2376.35,0.765,5.45,6.89,2D
ACODAA,22076.624,13526.856,1.017,0.55239,1098.02,0.474,5.78,6.3,1D
ACOLAG,43342.232,10307.76,0.395,0.823492,3393.1,2.167,13.65,14.13,1D
ACOLIP,55002.333,34734.6,1.049,0.440926,96.15,0.334,3.16,4.61,1D
ACOQEP,50044.959,48664.829,1.615,0.32371,132.45,0.175,3.55,4.61,1D
ACOZAW,32103.507,19884.544,1.029,0.580184,1651.79,0.642,4.45,7.43,2D
ACOZOH,37184.334,33384.192,1.491,0.183778,18.6,0.092,1.1,4.4,3D
ACOZUN,38104.62,37651.776,1.641,0.184259,18.22,0.087,1.12,4.5,1D
ACUCAC,42468.566,8214.464,0.321,0.878125,7014.09,2.566,8.75,11.39,2D
ACUDAD,32167.309,23722.279,1.225,0.292545,1.13,0.172,2.62,4.1,1D
ACUFUR01,35158.014,24261.888,1.146,0.324337,102.97,0.344,2.89,4.36,2D
ACUFUR,35221.779,24261.888,1.144,0.330637,100.4,0.344,2.92,4.27,1D
ACURUO,45476.972,30299.424,1.106,0.505612,972.43,0.373,4.14,6.63,1D
ACUTOI,53715.049,57659.904,1.782,0.213242,99.21,0.1,4.07,4.8,1D
ADABUE,22400.428,19769.832,1.466,0.219041,3.84,0.091,2.9,4.1,1D
