Refcode,Density (g/cm3),"Void fraction, F(He,T) (-)","Surface area, S(AC,T) (m2/g)","Pore volume, V(PO,T) (cm3/g)",Pore limiting diameter (A),Largest cavity diameter (A),Ratio LCD/PLD (-)
ABAVIJ,1.524,0.228104,5.35,0.094,1.81,4.19,2.314917127
ABAXIN,1.474,0.181924,6.22,0.082,1.31,4.29,3.27480916
ABAZAF01,1.255,0.300517,52.54,0.17,1.4,4.56,3.257142857
ABAZAF,1.257,0.288481,49.28,0.169,1.53,4.34,2.836601307
ABAZEI,1.109,0.208772,6.93,0.142,1.8,4.16,2.311111111
ABEFUL,1.55,0.252496,32.9,0.102,3.02,4.56,1.509933775
ABEXEM,1.897,0.228263,4.75,0.106,2.98,4.22,1.416107383
ABEXIQ,1.925,0.224454,1.14,0.101,2.91,4.12,1.41580756
ABIREJ,1.491,0.282949,5.28,0.162,2.57,4.2,1.634241245
ABIXEP,1.486,0.411588,558.6,0.254,4.59,6.49,1.413943355
ABOBUQ,1.436,0.352576,69.5,0.197,3.39,4.29,1.265486726
ABOCAV,1.552,0.149363,3.2,0.066,1.26,4.12,3.26984127
ABOWIA,0.819,0.593097,920.65,0.693,3.29,5.61,1.705167173
ABUBOQ,2.405,0.199094,9.25,0.076,2.64,4.31,1.632575758
ABULAL,1.483,0.352357,146.25,0.179,3.21,4.85,1.510903427
ABULUG,0.357,0.843427,5875.72,2.303,9.28,10.56,1.137931034
ACAFAN,1.276,0.312691,102.92,0.176,2.52,4.76,1.888888889
ACAFER,1.311,0.281693,35.63,0.151,2.2,4.39,1.995454545
ACAFIT,1.727,0.252705,53.17,0.112,2.71,4.63,1.708487085
ACAFIV,1.307,0.22014,0.42,0.096,2.04,4.08,2
ACAFOB,1.302,0.227771,0.97,0.099,1.92,4.11,2.140625
ACAFOZ,1.629,0.332395,149.22,0.151,3.13,4.91,1.568690096
ACAGAM,2.344,0.130389,29.88,0.046,2.08,4.79,2.302884615
ACAJOF,1.218,0.36134,601.05,0.24,5.63,6.37,1.131438721
ACASUT,1.062,0.639495,1199.19,0.57,4.05,5.72,1.412345679
ACATAB,0.596,0.764238,2967.34,1.189,7.29,8.46,1.160493827
ACATIJ,1.362,0.297113,197.75,0.169,3.2,5.46,1.70625
ACEGOG,1.42,0.325417,59.23,0.192,2.9,4.39,1.513793103
ACEKOK,1.333,0.346678,380.25,0.211,3.85,5.83,1.514285714
ACELIF,0.759,0.657457,2140.83,0.739,6.59,7.86,1.192716237
ACENIF,1.313,0.32865,317.21,0.221,3.84,5.11,1.330729167
ACEPIH,1.186,0.162151,4.66,0.08,1.47,4.16,2.829931973
ACIBIY,1.807,0.091242,23.74,0.036,1.71,4.83,2.824561404
ACIBOE,1.273,0.469122,631.31,0.319,6.99,8.15,1.165951359
ACICOH,1.25,0.435416,211.51,0.266,3.56,5.04,1.415730337
ACIPAF,0.703,0.577248,2376.35,0.765,5.45,6.89,1.264220183
ACODAA,1.017,0.55239,1098.02,0.474,5.78,6.3,1.089965398
ACOLAG,0.395,0.823492,3393.1,2.167,13.65,14.13,1.035164835
ACOLIP,1.049,0.440926,96.15,0.334,3.16,4.61,1.458860759
ACOQEP,1.615,0.32371,132.45,0.175,3.64,4.61,1.266483516
ACOZAW,1.029,0.580184,1651.79,0.642,4.45,7.43,1.669662921
ACOZOH,1.491,0.183778,18.6,0.092,1.1,4.4,4
ACOZUN,1.641,0.184259,18.22,0.087,1.12,4.5,4.017857143
ACUCAC,0.321,0.878125,7014.09,2.566,8.75,11.39,1.301714286
ACUDAD,1.225,0.292545,1.13,0.172,2.62,4.1,1.564885496
ACUFUR01,1.146,0.324337,102.97,0.344,2.89,4.36,1.508650519
ACUFUR,1.144,0.330637,100.4,0.344,2.92,4.27,1.462328767
ACURUO,1.106,0.505612,972.43,0.373,4.14,6.63,1.601449275
ACUTOI,1.782,0.213242,99.21,0.1,4.07,4.8,1.179361179
ADABUE,1.466,0.219041,3.84,0.091,2.9,4.1,1.413793103
ADAFAN01,0.921,0.454184,185.76,0.445,3.1,4.68,1.509677419
ADASEF,0.467,0.838986,3899.67,1.725,9.66,21.53,2.228778468
ADAWOS,1.229,0.444794,8.1,0.319,3.2,4.16,1.3
ADAYAG,0.75,0.605494,1793.12,0.725,5.66,7.77,1.372791519
ADECAQ,1.336,0.192214,13.15,0.119,2.28,4.3,1.885964912
ADEGOG,1.276,0.229701,180.84,0.142,2,5.05,2.525
ADENUV,1.188,0.416911,61.89,0.242,3.35,4.59,1.370149254
ADETEL,0.964,0.557022,1045.74,0.464,4.48,5.82,1.299107143
ADETIP,1.415,0.22262,46.67,0.108,1.59,4.5,2.830188679
ADETUB,1.074,0.241224,30.17,0.144,1.96,4.52,2.306122449
ADEVIR,1.487,0.294202,209.19,0.166,4.32,5.1,1.180555556
ADIJIJ,3.56,0.323422,193.5,0.107,3.81,5.76,1.511811024
ADIQAH,1.237,0.426051,143.89,0.243,3.51,4.56,1.299145299
ADIQEL,1.237,0.408753,74.44,0.233,3.43,4.23,1.233236152
ADIQOV,1.216,0.208412,30.99,0.127,1.54,4.36,2.831168831
ADOCAY,1.685,0.293131,80.08,0.166,3.69,5.21,1.411924119
ADOCIG,1.684,0.293681,75.72,0.169,3.7,5.24,1.416216216
ADODII,1.216,0.418848,481.21,0.245,4.71,5.74,1.218683652
ADODOO,1.287,0.410897,488.51,0.229,4.7,5.74,1.221276596
ADODUU,1.315,0.410216,482.41,0.223,4.75,5.73,1.206315789
ADOKEK,1.633,0.509143,899.12,0.317,6.08,6.56,1.078947368
ADONOX,1.08,0.371358,640.59,0.293,5,5.54,1.108
ADUBAE,1.067,0.301125,603.78,0.266,5.34,6.37,1.192883895
ADULIX,2.226,0.139422,77.16,0.049,3.77,5.33,1.413793103
ADURUN,1.503,0.111072,1.97,0.051,1.94,4.15,2.139175258
ADUSOI,0.877,0.630974,619,0.595,3.53,5.33,1.509915014
ADUVAY,1.554,0.424121,849.21,0.33,4.58,5.79,1.26419214
AFAREH,1.977,0.091096,1.61,0.038,1.99,4.25,2.135678392
AFARIL,2.106,0.08359,0.07,0.034,1.93,4.13,2.139896373
AFAROR,2.122,0.081755,0.07,0.035,1.93,4.12,2.134715026
AFARUX,2.021,0.079549,0.77,0.036,1.82,4.2,2.307692308
AFAWAH,1.318,0.300544,20.6,0.172,1.87,4.33,2.315508021
AFECEV,1.232,0.063733,0.54,0.03,1.43,4.04,2.825174825
AFECIY01,1.591,0.222682,6.33,0.089,1.05,4.18,3.980952381
AFECIY,1.569,0.222229,13.09,0.091,1.07,4.26,3.981308411
AFEDAR,1.413,0.309643,119.89,0.184,3,4.9,1.633333333
AFEGIE,1.244,0.31209,85.75,0.185,3.05,4.45,1.459016393
AFEHAV,1.029,0.234428,28.13,0.167,1.97,4.21,2.137055838
AFEHOI,1.376,0.183874,4.53,0.084,2,4.28,2.14
AFEJAW,1.367,0.191833,7.75,0.089,1.89,4.36,2.306878307
AFEJEA,0.84,0.525997,1160.78,0.53,6.3,6.74,1.06984127
AFEJEB,1.106,0.541092,1392.2,0.499,7.4,8.37,1.131081081
AFEJIE,0.867,0.526389,1024.46,0.503,6.35,6.79,1.069291339
AFEJUQ,1.144,0.387853,132.97,0.259,3.86,4.76,1.233160622
AFEKAY,0.86,0.46881,543.28,0.406,3.15,5.15,1.634920635
AFELII,1.498,0.19607,60.79,0.101,2.7,4.6,1.703703704
AFENEE,1.248,0.317209,2.57,0.176,2.77,4.04,1.458483755
AFENUX,1.572,0.258748,0.94,0.13,2.8,4.08,1.457142857
AFIJUX,1.024,0.463401,573.58,0.372,3.8,5.56,1.463157895
AFIKAE,1.009,0.49994,757.84,0.462,4.05,5.91,1.459259259
AFIKEI,1.025,0.493397,708.62,0.431,3.99,5.93,1.486215539
AFIKIM,1.062,0.475016,595.19,0.382,3.8,5.74,1.510526316
AFILEH,1.076,0.370843,647.87,0.293,4.99,5.53,1.108216433
AFITEP,1.068,0.476095,128.48,0.336,3.87,4.38,1.131782946
AFIWAQ,1.392,0.208213,154.48,0.119,4.21,5.61,1.332541568
AFOFUX,2.909,0.374407,157.53,0.152,3.71,4.59,1.237196765
AFOGAE,2.576,0.242206,54.81,0.118,3.48,5.08,1.459770115
AFOXAX,1.462,0.25177,159.18,0.126,3.17,5.98,1.886435331
AFUJUG,1.076,0.588005,1303.51,0.489,5.51,7.55,1.370235935
AFUMIY,1.466,0.293364,131.09,0.169,2.91,5.2,1.786941581
AFUWEG,1.03,0.519077,1034.73,0.441,4.73,5.84,1.234672304
AGABUF,1.288,0.548224,734.02,0.413,3.96,5.14,1.297979798
AGADIW,1.1,0.287651,112.34,0.219,3.35,4.6,1.373134328
AGADOC,1.059,0.346503,225.75,0.274,3.65,4.61,1.263013699
AGADUI,1.045,0.352611,313.35,0.291,3.74,4.85,1.296791444
AGAFAQ,1.035,0.358589,440.63,0.288,3.62,5.68,1.569060773
AGAFEU,0.996,0.382617,989.98,0.331,4.81,5.56,1.155925156
AGAFIY,0.968,0.398791,1074.99,0.349,4.28,5.28,1.23364486
AGAMAZ,1.284,0.14089,81.52,0.09,2.89,5.18,1.792387543
AGAREG,1.598,0.181105,2.45,0.083,1.5,4.23,2.82
AGASOR01,0.658,0.723629,2364.35,0.955,4.68,7.49,1.60042735
AGASOR,0.626,0.733337,3040.16,1.033,5.07,7.06,1.392504931
AGASUX,1.161,0.266596,32.52,0.19,3.24,4.32,1.333333333
AGAWOU,1.02,0.637889,1330.28,0.581,4.3,5.66,1.31627907
AGAYAI,0.643,0.746794,3252.71,1.058,7.44,9.59,1.288978495
AGEDIC,1.309,0.549617,716.62,0.332,5.19,5.54,1.06743738
AGENPC11,1.584,0.330794,2.05,0.176,2.17,4.1,1.889400922
AGEQEK,0.771,0.646152,2193.74,0.754,5.54,6.92,1.249097473
AGETUE,1.101,0.582348,954.38,0.548,4.5,5.76,1.28
AGILEH,0.372,0.772403,6228.73,1.911,8.57,9.16,1.068844807
AGIMIN,1.054,0.238297,56.04,0.168,1.53,4.32,2.823529412
AGIMIO,1.629,0.232684,18.72,0.112,1.09,4.38,4.018348624
AGOHOV,1.355,0.314914,119.02,0.176,3.2,4.52,1.4125
AGONAM,1.437,0.455787,597.99,0.266,4.68,5.52,1.179487179
AGONEQ,1.082,0.651371,1562.22,0.537,5.59,6.09,1.089445438
AGOPER,0.884,0.454517,278.32,0.351,3.04,5.43,1.786184211
AGOPUI,1.942,0.165371,76.6,0.078,4.11,4.96,1.206812652
AGOVID,0.642,0.817292,2868.49,1.098,8.2,12.34,1.504878049
AGOWAW,0.746,0.769381,2111.6,0.876,7.99,13.05,1.633291615
AGOWEA,1.19,0.64876,825.05,0.418,4.3,8.22,1.911627907
AGOWIE,1.257,0.270198,9.16,0.134,2.35,4.21,1.791489362
AGOWIF,0.725,0.542414,2050.61,0.706,7.15,8.35,1.167832168
AGOXAV,1.08,0.201003,106.65,0.129,1.23,4.91,3.991869919
AGOXOK,2.032,0.181726,15.93,0.08,1.33,4.34,3.263157895
AGOZED,1.643,0.206258,69.17,0.087,2.05,4.74,2.312195122
AGUDUB,1.208,0.077268,27.44,0.046,1.16,4.62,3.982758621
AGUPIC,1.468,0.100787,5.58,0.05,1.08,4.32,4
AGUTEC,1.008,0.41775,306.07,0.38,3.33,5.44,1.633633634
AGUVII,1.032,0.388804,189.63,0.333,2.61,4.92,1.885057471
AHAFEV,1.235,0.272691,266.66,0.163,1.91,5.77,3.020942408
AHAMAY,2.336,0.200616,12.87,0.066,3.38,4.28,1.266272189
AHAYUF,1.224,0.359736,605.18,0.249,4.4,6.03,1.370454545
AHEHAY,1.625,0.408887,161.71,0.232,3.43,4.7,1.370262391
AHEHEC,1.641,0.408007,160.24,0.226,3.45,4.74,1.373913043
AHEKED,1.708,0.424047,36.72,0.209,3.34,4.22,1.263473054
AHENOS,1.353,0.15059,56.12,0.073,1.74,4.93,2.833333333
AHINIP,1.255,0.192738,49.01,0.092,2.1,4.85,2.30952381
AHIPEN,1.431,0.351187,569.64,0.231,5.92,9.11,1.538851351
AHOBEG,1.421,0.232919,25.36,0.117,1.88,4.33,2.303191489
AHOLAK01,0.834,0.583174,1362.39,0.64,3.58,6.24,1.74301676
AHOMOB01,1.268,0.386454,171.92,0.244,3.52,4.83,1.372159091
AHORUL,1.596,0.116197,112.69,0.054,6.53,6.74,1.032159265
AHOSEV,0.94,0.58808,1793.47,0.589,6.36,7.05,1.108490566
AHOSUL,0.962,0.58027,1698.85,0.573,6.01,7.17,1.193011647
AHOZIG,1.317,0.234516,95.59,0.134,1.49,4.88,3.275167785
AHOZII,0.951,0.530862,943.13,0.483,5.85,6.89,1.177777778
AHUNEW,1.347,0.206281,10.77,0.097,2.08,4.44,2.134615385
AHUPEA,1.266,0.173767,8.6,0.082,1.84,4.24,2.304347826
AHUPIE,1.2,0.229512,3.18,0.129,2.59,4.07,1.571428571
AHUWIK,1.577,0.08319,7.58,0.038,0.75,4.27,5.693333333
AJABIX01,1.171,0.332491,460.63,0.244,1.5,6.93,4.62
AJABIX,1.188,0.320254,420.43,0.233,1.18,6.65,5.63559322
AJABOD,1.183,0.322551,432.49,0.235,1.46,6.72,4.602739726
AJABUJ01,1.142,0.189402,12.34,0.11,2.1,4.21,2.004761905
AJABUJ,1.097,0.234969,85.12,0.155,1.9,4.8,2.526315789
AJAGOI,2.126,0.320219,326.16,0.133,6.25,6.93,1.1088
AJAHEZ,2.47,0.250642,26.71,0.082,1.75,4.42,2.525714286
AJAXAM,0.86,0.44962,459.76,0.452,2.75,4.92,1.789090909
AJECUO,1.613,0.21523,51.29,0.106,2.6,4.43,1.703846154
AJEKIL,1.37,0.156914,34.94,0.07,1.16,4.64,4
AJESUD,1.243,0.377964,253.65,0.235,2.12,4.89,2.306603774
AJIHOQ,1.301,0.463176,595.35,0.294,6.39,7.09,1.109546166
AJIJIN,0.826,0.515227,1592.05,0.674,4.48,5.18,1.15625
AJIMEN,1.427,0.417451,159.13,0.245,3.16,4.77,1.509493671
AJIROB,1.364,0.226644,15.48,0.114,1.99,4.25,2.135678392
AJODOT,1.441,0.240269,285.85,0.128,4.98,5.75,1.154618474
AJOHOY,1.235,0.250472,302.48,0.156,2.77,6.67,2.407942238
AJOTOK,1.375,0.509017,386.15,0.339,3.59,4.79,1.334261838
AJOVEB,2.006,0.146809,24.19,0.061,4.04,4.99,1.235148515
AJUFUI,1.363,0.268626,136.42,0.156,1.67,4.73,2.832335329
AJUNOK,1.437,0.280048,90.08,0.142,2.68,4.8,1.791044776
AKAXIU,1.341,0.476471,739.35,0.304,8.94,9.43,1.054809843
AKAXOA,1.32,0.485735,757.42,0.318,9.43,9.99,1.059384942
AKAXUG,1.356,0.471226,730.41,0.299,8.68,9.32,1.073732719
AKAYAN,1.42,0.438526,687.72,0.265,7.31,7.88,1.077975376
AKAYER,1.312,0.478837,766.97,0.315,8.88,9.37,1.05518018
AKEBAV,1.264,0.25591,61.21,0.159,1.15,4.59,3.991304348
AKECEA,1.322,0.348879,77.7,0.215,3.31,4.41,1.332326284
AKECIE,1.23,0.400607,353.28,0.258,3.21,5.25,1.635514019
AKEDAX,1.007,0.380572,23.06,0.289,3.1,4.39,1.416129032
AKICUT01,0.927,0.510926,1710.11,0.535,6.45,7.37,1.142635659
AKIMIS,0.804,0.604676,1806.46,0.671,7.12,7.97,1.119382022
AKINAK,2.367,0.166755,11.16,0.059,1.77,4.48,2.531073446
AKIQUG,0.816,0.558306,1554.1,0.667,9.8,10.08,1.028571429
AKITUL,1.056,0.466235,205.14,0.354,3.61,4.56,1.263157895
AKIYOI,0.963,0.620615,2077.39,0.626,4.95,5.84,1.17979798
AKIYOK,1.216,0.220178,33.36,0.111,2.73,4.45,1.63003663
AKIYUQ,1.303,0.214015,39.05,0.111,2.92,4.41,1.510273973
AKIZEZ,0.841,0.645834,1574.57,0.746,4.47,5.65,1.263982103
AKIZUR,1.125,0.294537,8.99,0.201,2.91,4.12,1.41580756
AKOBAF,1.195,0.29606,62.64,0.192,3.26,4.47,1.371165644
AKUJOH,1.156,0.378833,61.57,0.236,2.93,4.43,1.511945392
AKUMIE,0.793,0.662146,1239.38,0.695,4.25,5.02,1.181176471
AKURIH01,0.667,0.676269,2839.29,0.918,7.99,8.86,1.108886108
ALATIR,1.595,0.216174,78.25,0.108,1.24,4.96,4
ALATOX,1.618,0.186481,31.96,0.095,1.42,4.63,3.26056338
ALECUP,1.216,0.434523,465.48,0.375,3.67,5.03,1.370572207
ALEQEP,0.731,0.637978,2117.75,0.741,6.36,7.58,1.191823899
ALESAN,0.751,0.633798,2005.8,0.718,5.89,7.45,1.264855688
ALEZEY,1.499,0.08579,2.16,0.035,2.88,4.2,1.458333333
